date,um100,um025,pm1,pm25,um010,pm10,um003,temperature,um050,um005,pressure,humidity,locationId,location,latitude,longitude,country
2023-01-01T15:00:00+07:00,0.0016666666666666668,0.11333333333333333,25.83333333333333,36.333333333333336,2.445,42.4,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-01T16:00:00+07:00,0.0,0.04666666666666667,16.766666666666666,21.799999999999997,1.2283333333333333,23.05,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-01T17:00:00+07:00,0.0,0.0424137931034483,19.251724137931028,24.296551724137927,1.2293103448275864,25.19655172413793,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-01T18:00:00+07:00,0.0,0.04700000000000003,20.86333333333334,26.783333333333335,1.3616666666666668,27.99333333333334,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-01T19:00:00+07:00,0.0006666666666666666,0.09433333333333337,24.936666666666667,33.81333333333334,1.8896666666666664,38.106666666666676,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-01T20:00:00+07:00,0.0023333333333333335,0.13533333333333336,27.9,38.83333333333333,2.4700000000000006,45.819999999999986,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-01T21:00:00+07:00,0.007333333333333336,0.22300000000000003,31.11333333333333,44.32000000000001,3.1963333333333344,53.83666666666666,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-01T22:00:00+07:00,0.0033333333333333335,0.16233333333333333,21.333333333333332,30.61333333333333,1.9313333333333336,35.27,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-01T23:00:00+07:00,0.0013333333333333333,0.07733333333333334,11.216666666666669,15.966666666666669,0.9453333333333334,17.56333333333333,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T00:00:00+07:00,0.0013793103448275863,0.08517241379310346,13.582758620689654,19.079310344827583,1.1175862068965516,20.765517241379303,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T01:00:00+07:00,0.0023333333333333335,0.13766666666666666,19.420000000000005,27.783333333333324,1.5986666666666665,30.38999999999999,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T02:00:00+07:00,0.004333333333333332,0.1976666666666667,23.020000000000003,33.883333333333326,2.1333333333333333,39.41,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T03:00:00+07:00,0.009333333333333334,0.22733333333333341,20.956666666666667,31.700000000000003,2.0029999999999997,36.876666666666665,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T04:00:00+07:00,0.021666666666666674,0.3803333333333334,23.84666666666667,37.84666666666667,2.7929999999999997,47.70000000000001,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T05:00:00+07:00,0.016071428571428577,0.31464285714285717,21.542857142857148,33.95000000000001,2.3549999999999995,41.396428571428565,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T06:00:00+07:00,0.10633333333333331,3.908666666666667,82.97666666666666,201.24666666666664,25.782,238.1766666666667,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T07:00:00+07:00,0.015000000000000008,0.4032142857142857,27.978571428571424,44.753571428571426,3.8760714285714286,53.56071428571429,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T08:00:00+07:00,0.010666666666666666,0.2726666666666667,21.509999999999998,32.843333333333334,2.184333333333333,39.22666666666667,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T09:00:00+07:00,0.0036666666666666666,0.16333333333333336,21.540000000000003,30.870000000000005,1.86,34.78333333333333,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T10:00:00+07:00,0.00925925925925926,0.17999999999999997,19.25925925925926,27.89629629629629,1.7744444444444445,32.6,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T11:00:00+07:00,0.0023333333333333335,0.10333333333333332,18.610000000000003,25.52333333333333,1.54,29.376666666666672,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T12:00:00+07:00,0.0,0.04733333333333336,12.763333333333337,16.496666666666666,0.906,17.64333333333333,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T13:00:00+07:00,0.0,0.03280000000000001,11.579999999999995,14.479999999999995,0.7696,15.448000000000002,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T14:00:00+07:00,0.00035714285714285714,0.038928571428571444,10.875,13.81785714285714,0.7560714285714286,14.989285714285714,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T15:00:00+07:00,0.0,0.03916666666666668,12.179166666666665,15.395833333333334,0.8291666666666666,16.44583333333333,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T16:00:00+07:00,0.0,0.03275862068965519,12.148275862068964,15.33448275862069,0.826551724137931,16.155172413793103,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T17:00:00+07:00,0.0003448275862068966,0.05275862068965521,15.637931034482756,20.237931034482763,1.1272413793103448,21.37241379310345,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
2023-01-02T18:00:00+07:00,0.00037037037037037035,0.0714814814814815,17.774074074074075,23.3962962962963,1.3148148148148142,24.807407407407407,,,,,,,354662,Regatta The Icon,-6.09474,106.79309,ID
