date,pm25,location,bulan,total
2023-01-02T10:00:00+07:00,20.6090909090909,Angkasa-Kemayoran,,
2023-01-02T10:00:00+07:00,27.7,LTC Glodok,,
2023-01-02T11:00:00+07:00,25.5233333333333,Regatta The Icon,,
2023-01-02T11:00:00+07:00,20.3666666666666,Ancol,,
2023-01-02T11:00:00+07:00,26.8153846153846,Angkasa-Kemayoran,,
2023-01-02T11:00:00+07:00,35.2,LTC Glodok,,
2023-01-02T12:00:00+07:00,16.4966666666666,Regatta The Icon,,
2023-01-02T12:00:00+07:00,13.2266666666666,Ancol,,
2023-01-02T12:00:00+07:00,18.9555555555555,Angkasa-Kemayoran,,
2023-01-02T12:00:00+07:00,26.0347826086956,LTC Glodok,,
2023-01-02T13:00:00+07:00,14.4799999999999,Regatta The Icon,,
2023-01-02T13:00:00+07:00,13.1208333333333,Ancol,,
2023-01-02T13:00:00+07:00,14.15,Angkasa-Kemayoran,,
2023-01-02T13:00:00+07:00,26.65,LTC Glodok,,
2023-01-02T14:00:00+07:00,13.8178571428571,Regatta The Icon,,
2023-01-02T14:00:00+07:00,12.7066666666666,Ancol,,
2023-01-02T14:00:00+07:00,9.67142857142857,Angkasa-Kemayoran,,
2023-01-02T14:00:00+07:00,21.0727272727272,LTC Glodok,,
2023-01-02T15:00:00+07:00,15.3958333333333,Regatta The Icon,,
2023-01-02T15:00:00+07:00,14.4708333333333,Ancol,,
2023-01-02T15:00:00+07:00,13.455,Angkasa-Kemayoran,,
2023-01-02T15:00:00+07:00,18.13125,LTC Glodok,,
2023-01-02T16:00:00+07:00,15.3344827586206,Regatta The Icon,,
2023-01-02T16:00:00+07:00,14.9571428571428,Ancol,,
2023-01-02T16:00:00+07:00,26.7466666666666,Angkasa-Kemayoran,,
2023-01-02T16:00:00+07:00,31.0090909090909,LTC Glodok,,
2023-01-02T17:00:00+07:00,20.2379310344827,Regatta The Icon,,
2023-01-02T17:00:00+07:00,17.5333333333333,Ancol,,
2023-01-02T17:00:00+07:00,23.9827586206896,Angkasa-Kemayoran,,
2023-01-02T17:00:00+07:00,29.25,LTC Glodok,,
2023-01-02T18:00:00+07:00,23.3962962962963,Regatta The Icon,,
2023-01-02T18:00:00+07:00,20.3678571428571,Ancol,,
2023-01-02T18:00:00+07:00,27.54,Angkasa-Kemayoran,,
2023-01-02T18:00:00+07:00,32.7875,LTC Glodok,,
2023-01-02T19:00:00+07:00,24.7862068965517,Regatta The Icon,,
2023-01-02T19:00:00+07:00,22.6533333333333,Ancol,,
2023-01-02T19:00:00+07:00,24.18,Angkasa-Kemayoran,,
2023-01-02T19:00:00+07:00,28.876923076923,LTC Glodok,,
2023-01-02T20:00:00+07:00,37.4592592592592,Regatta The Icon,,
2023-01-02T20:00:00+07:00,30.175,Ancol,,
2023-01-02T20:00:00+07:00,21.3275862068965,Angkasa-Kemayoran,,
2023-01-02T20:00:00+07:00,24.1,LTC Glodok,,
2023-01-02T21:00:00+07:00,36.15,Regatta The Icon,,
2023-01-02T21:00:00+07:00,22.9620689655172,Ancol,,
2023-01-02T21:00:00+07:00,15.0199999999999,Angkasa-Kemayoran,,
2023-01-02T21:00:00+07:00,20.2,LTC Glodok,,
2023-01-02T22:00:00+07:00,32.9233333333333,Regatta The Icon,,
2023-01-02T22:00:00+07:00,15.0206896551724,Ancol,,
2023-01-02T22:00:00+07:00,6.37333333333333,Angkasa-Kemayoran,,
2023-01-02T22:00:00+07:00,15.7277777777777,LTC Glodok,,
2023-01-02T23:00:00+07:00,21.8733333333333,Regatta The Icon,,
2023-01-02T23:00:00+07:00,18.0814814814814,Ancol,,
2023-01-02T23:00:00+07:00,6.49666666666666,Angkasa-Kemayoran,,
2023-01-02T23:00:00+07:00,12.9,LTC Glodok,,
2023-01-03T00:00:00+07:00,23.5241379310344,Regatta The Icon,,
2023-01-03T00:00:00+07:00,16.2444444444444,Ancol,,
2023-01-03T00:00:00+07:00,6.79655172413793,Angkasa-Kemayoran,,
2023-01-03T00:00:00+07:00,13.8310344827586,LTC Glodok,,
2023-01-03T01:00:00+07:00,14.5518518518518,Regatta The Icon,,
2023-01-03T01:00:00+07:00,13.7714285714285,Ancol,,
2023-01-03T01:00:00+07:00,9.82,Angkasa-Kemayoran,,
2023-01-03T01:00:00+07:00,9.48333333333333,LTC Glodok,,
2023-01-03T02:00:00+07:00,12.5206896551724,Regatta The Icon,,
2023-01-03T02:00:00+07:00,13.5444444444444,Ancol,,
2023-01-03T02:00:00+07:00,6.62666666666666,Angkasa-Kemayoran,,
2023-01-03T02:00:00+07:00,6.68965517241379,LTC Glodok,,
2023-01-03T03:00:00+07:00,8.22857142857142,Regatta The Icon,,
2023-01-03T03:00:00+07:00,8.18636363636363,Ancol,,
2023-01-03T03:00:00+07:00,1.14,Angkasa-Kemayoran,,
2023-01-03T03:00:00+07:00,2.13,LTC Glodok,,
2023-01-03T04:00:00+07:00,8.57407407407407,Regatta The Icon,,
2023-01-03T04:00:00+07:00,6.06190476190476,Ancol,,
2023-01-03T04:00:00+07:00,0.746666666666666,Angkasa-Kemayoran,,
2023-01-03T04:00:00+07:00,0.73,LTC Glodok,,
2023-01-03T05:00:00+07:00,9.04137931034482,Regatta The Icon,,
2023-01-03T05:00:00+07:00,6.62,Ancol,,
2023-01-03T05:00:00+07:00,1.78275862068965,Angkasa-Kemayoran,,
2023-01-03T05:00:00+07:00,2.09666666666666,LTC Glodok,,
2023-01-03T06:00:00+07:00,8.47692307692307,Regatta The Icon,,
2023-01-03T06:00:00+07:00,4.36666666666666,Ancol,,
2023-01-03T06:00:00+07:00,0.193333333333333,Angkasa-Kemayoran,,
2023-01-03T06:00:00+07:00,0.417241379310344,LTC Glodok,,
2023-01-03T07:00:00+07:00,8.74347826086956,Regatta The Icon,,
2023-01-03T07:00:00+07:00,5.75454545454545,Ancol,,
2023-01-03T07:00:00+07:00,0.848148148148148,Angkasa-Kemayoran,,
2023-01-03T07:00:00+07:00,1.05999999999999,LTC Glodok,,
2023-01-03T08:00:00+07:00,13.2,Regatta The Icon,,
2023-01-03T08:00:00+07:00,11.5714285714285,Ancol,,
2023-01-03T08:00:00+07:00,4.68518518518518,Angkasa-Kemayoran,,
2023-01-03T08:00:00+07:00,4.69333333333333,LTC Glodok,,
2023-01-03T09:00:00+07:00,18.8,Regatta The Icon,,
2023-01-03T09:00:00+07:00,17.3444444444444,Ancol,,
2023-01-03T09:00:00+07:00,11.7888888888888,Angkasa-Kemayoran,,
2023-01-03T09:00:00+07:00,14.1206896551724,LTC Glodok,,
2023-01-03T10:00:00+07:00,23.548,Regatta The Icon,,
2023-01-03T10:00:00+07:00,19.1666666666666,Ancol,,
2023-01-03T10:00:00+07:00,15.7148148148148,Angkasa-Kemayoran,,
2023-01-03T10:00:00+07:00,20.3275862068965,LTC Glodok,,
2023-01-03T11:00:00+07:00,41.0333333333333,Regatta The Icon,,
2023-01-03T11:00:00+07:00,26.6,Ancol,,
2023-01-03T11:00:00+07:00,22.6433333333333,Angkasa-Kemayoran,,
2023-01-03T11:00:00+07:00,26.43,LTC Glodok,,
2023-01-03T12:00:00+07:00,28.4434782608695,Regatta The Icon,,
2023-01-03T12:00:00+07:00,22.3272727272727,Ancol,,
2023-01-03T12:00:00+07:00,14.5296296296296,Angkasa-Kemayoran,,
2023-01-03T12:00:00+07:00,16.91,LTC Glodok,,
2023-01-03T13:00:00+07:00,17.2772727272727,Regatta The Icon,,
2023-01-03T13:00:00+07:00,10.6473684210526,Ancol,,
2023-01-03T13:00:00+07:00,3.44814814814814,Angkasa-Kemayoran,,
2023-01-03T13:00:00+07:00,4.22857142857142,LTC Glodok,,
2023-01-03T14:00:00+07:00,25.8388888888888,Regatta The Icon,,
2023-01-03T14:00:00+07:00,18.1566666666666,Ancol,,
2023-01-03T14:00:00+07:00,5.11904761904762,Angkasa-Kemayoran,,
2023-01-03T14:00:00+07:00,9.56551724137931,LTC Glodok,,
2023-01-03T15:00:00+07:00,35.2833333333333,Regatta The Icon,,
2023-01-03T15:00:00+07:00,31.04,Ancol,,
2023-01-03T15:00:00+07:00,11.2055555555555,Angkasa-Kemayoran,,
2023-01-03T15:00:00+07:00,15.7607142857142,LTC Glodok,,
2023-01-03T16:00:00+07:00,38.2473684210526,Regatta The Icon,,
2023-01-03T16:00:00+07:00,28.3733333333333,Ancol,,
